,temp,pres,rh,ws,PBLH,VentCoef
2019-09-21,290.1333333333333,1021.2916666666666,32.083333333333336,2.404166666666667,670.1666666666666,1822.9833333333333
2019-09-22,287.6125,1025.75,41.333333333333336,3.6333333333333333,980.125,4521.787499999999
2019-09-23,289.5,1020.6666666666666,52.0,1.8583333333333334,758.1304347826087,1930.0652173913043
2019-09-24,293.9375,1018.2083333333334,39.208333333333336,1.6041666666666667,312.6363636363636,719.2318181818182
2019-09-25,295.70416666666665,1016.25,46.916666666666664,1.4916666666666665,301.95454545454544,648.25
2019-09-26,291.47083333333336,1020.5833333333334,57.791666666666664,3.3041666666666667,771.25,2860.9541666666664
2019-09-27,289.375,1017.5833333333334,66.0,3.704166666666667,1121.1666666666667,4544.916666666667
2019-09-28,292.2,1011.5416666666666,63.0,2.4458333333333333,723.7083333333334,2626.5958333333333
2019-09-29,296.4916666666667,1002.2083333333334,51.875,3.9416666666666664,1307.7916666666667,5492.05
2019-09-30,291.1125,1000.5416666666666,74.75,3.279166666666667,1171.4166666666667,4236.087500000001
2019-10-01,286.8333333333333,1009.875,56.458333333333336,4.620833333333333,1620.125,8693.929166666667
2019-10-02,285.1041666666667,1021.4166666666666,63.59090909090909,3.9272727272727277,1442.8636363636363,6957.245454545454
2019-10-03,286.675,1020.125,75.54166666666667,3.891666666666667,1199.0833333333333,5417.145833333333
2019-10-04,286.90833333333336,1015.5,89.25,2.0333333333333337,713.8260869565217,1799.9695652173914
2019-10-05,288.85833333333335,1019.5833333333334,58.666666666666664,1.9041666666666668,721.1739130434783,1909.6565217391303
2019-10-06,290.97083333333336,1013.6666666666666,48.75,3.870833333333333,1252.8333333333333,5507.170833333334
2019-10-07,291.9875,1012.8333333333334,44.041666666666664,1.2958333333333334,595.8947368421053,1689.7894736842106
2019-10-08,293.8958333333333,1014.0,42.083333333333336,1.4666666666666668,414.57894736842104,1202.6894736842105
2019-10-09,295.0541666666667,1009.4166666666666,67.83333333333333,2.316666666666667,598.9130434782609,1794.0956521739129
2019-10-10,296.2583333333333,1004.4583333333334,69.75,2.9499999999999997,773.7916666666666,2651.0833333333335
2019-10-11,292.93333333333334,1005.875,85.54166666666667,2.8249999999999997,725.7916666666666,2779.5458333333336
2019-10-12,291.5416666666667,1006.125,88.91666666666667,2.095833333333333,661.5833333333334,1766.9375
2019-10-13,286.5625,1022.125,55.416666666666664,4.4125000000000005,1307.75,6721.087500000001
2019-10-14,284.40416666666664,1027.4583333333333,62.083333333333336,3.8833333333333333,1110.0833333333333,5184.283333333334
2019-10-15,286.1125,1023.5,86.08333333333333,2.983333333333333,814.7916666666666,2653.7625000000003
2019-10-16,289.37916666666666,1015.4166666666666,85.82608695652173,4.095652173913043,1141.391304347826,5057.356521739131
2019-10-17,289.6333333333333,1012.25,88.0,2.4458333333333333,966.9,3912.185
